[[ 862  840]
 [ 868  950]
 [ 888 1060]
 [ 906 1171]
 [ 936 1277]
 [ 995 1372]
 [1068 1459]
 [1152 1530]
 [1253 1549]
 [1354 1525]
 [1439 1446]
 [1513 1355]
 [1570 1254]
 [1596 1146]
 [1606 1036]
 [1619  924]
 [1620  813]
 [ 885  810]
 [ 931  757]
 [1006  749]
 [1084  758]
 [1163  780]
 [1274  782]
 [1352  759]
 [1428  745]
 [1507  746]
 [1563  791]
 [1221  849]
 [1220  932]
 [1218 1013]
 [1217 1095]
 [1151 1138]
 [1183 1154]
 [1222 1168]
 [1261 1151]
 [1298 1136]
 [ 987  840]
 [1027  815]
 [1082  817]
 [1128  855]
 [1077  861]
 [1024  861]
 [1330  854]
 [1374  817]
 [1428  813]
 [1471  836]
 [1433  860]
 [1380  860]
 [1102 1285]
 [1144 1262]
 [1189 1249]
 [1229 1262]
 [1267 1249]
 [1321 1261]
 [1374 1275]
 [1324 1320]
 [1274 1343]
 [1232 1347]
 [1190 1345]
 [1145 1324]
 [1124 1287]
 [1189 1280]
 [1229 1285]
 [1268 1278]
 [1351 1279]
 [1271 1286]
 [1231 1295]
 [1191 1288]]
