[[231 186]
 [232 209]
 [231 235]
 [236 261]
 [248 283]
 [268 300]
 [291 313]
 [317 324]
 [343 325]
 [363 319]
 [374 304]
 [383 282]
 [389 261]
 [392 238]
 [395 218]
 [395 198]
 [392 180]
 [273 170]
 [285 159]
 [300 154]
 [317 155]
 [334 158]
 [355 157]
 [364 150]
 [375 148]
 [384 147]
 [389 155]
 [346 175]
 [349 190]
 [353 206]
 [356 222]
 [331 235]
 [341 237]
 [351 238]
 [359 236]
 [365 231]
 [289 181]
 [298 174]
 [310 173]
 [319 181]
 [310 184]
 [298 185]
 [358 177]
 [367 168]
 [376 167]
 [383 172]
 [378 177]
 [368 178]
 [313 270]
 [327 263]
 [341 258]
 [350 260]
 [357 257]
 [365 258]
 [374 264]
 [367 271]
 [359 273]
 [351 274]
 [342 274]
 [328 273]
 [318 269]
 [341 267]
 [350 266]
 [358 265]
 [369 265]
 [358 263]
 [351 264]
 [342 265]]
